,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
10,nba.p.6581,Neemias,Queta,C,BOS,IND,BOS@IND,7:00PM EDT,11,6.5, , ,2024-10-30,6581,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,6581,P,4.0,2.3,0.0,0.0,0.0,0.3,6.46,0.0,19.4,0.0,6.48,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.20990431320566713
11,nba.p.6619,Sam,Hauser,SF,BOS,IND,BOS@IND,7:00PM EDT,16,17.5,GTD, ,2024-10-30,6619,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,6619,P,10.0,5.0,1.0,0.0,0.0,0.0,17.5,,,,,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,
12,nba.p.6743,JD,Davison,PG,BOS,IND,BOS@IND,7:00PM EDT,10,-0.3, , ,2024-10-30,6743,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,6743,P,0.0,1.0,1.0,0.0,0.0,3.0,-0.3,,,,,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,
13,nba.p.10075,Jordan,Walsh,SF,BOS,IND,BOS@IND,7:00PM EDT,10,3.4, , ,2024-10-30,10075,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,10075,P,0.7,1.0,0.3,0.0,0.3,0.0,3.25,5.6,3.0,1.5,3.79,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.1350449200238312
14,nba.p.10206,Drew,Peterson,PF,BOS,IND,BOS@IND,7:00PM EDT,10,4.6, , ,2024-10-30,10206,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,10206,P,0.0,0.5,0.0,0.5,1.0,0.5,4.6,,,,,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,
15,nba.p.10277,Baylor,Scheierman,SG,BOS,IND,BOS@IND,7:00PM EDT,11,2.6, , ,2024-10-30,10277,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,10277,P,2.0,0.5,0.0,0.0,0.0,0.0,2.6,,,,,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,
16,nba.p.10321,Anton,Watson,PF,BOS,IND,BOS@IND,7:00PM EDT,10,0.0, , ,2024-10-30,10321,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,10321,P,,,,,,,0.0,,,,,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,
17,nba.p.4621,James,Johnson,PF,IND,BOS,BOS@IND,7:00PM EDT,10,5.5, , ,2024-10-30,4621,1,110.19,117.14,127.15,111.65,19.0,1.0,3.0,28.0,23.0,3.0,26.0,4.0,25.0,4.0,28.0,27.0,29.0,7.0,18.0,1.0,22.0,11.0,26.0,23.0,6.0,27.0,22.0,1.0,13.0,18.0,18.0,15.0,22.0,20.0,27.0,10.0,29.0,4.0,,,30.0,11.0,4621,P,2.0,0.0,1.0,0.0,1.0,1.0,5.5,,,,,0.95,1.0,1.1018999999999999,0.245,3.0555555555555554,1.4,0.32727272727272727,0.7142857142857143,0.3676363636363637,0.8023809523809525,
18,nba.p.5471,Myles,Turner,C,IND,BOS,BOS@IND,7:00PM EDT,27,30.9,GTD, ,2024-10-30,5471,1,110.19,117.14,127.15,111.65,19.0,1.0,3.0,28.0,23.0,3.0,26.0,4.0,25.0,4.0,28.0,27.0,29.0,7.0,18.0,1.0,22.0,11.0,26.0,23.0,6.0,27.0,22.0,1.0,13.0,18.0,18.0,15.0,22.0,20.0,27.0,10.0,29.0,4.0,,,30.0,11.0,5471,P,15.0,6.3,1.8,1.0,2.0,3.3,30.96,18.0,30.799999999999997,29.9,26.909999999999997,0.95,1.0,1.1018999999999999,0.245,3.0555555555555554,1.4,0.32727272727272727,0.7142857142857143,0.3676363636363637,0.8023809523809525,0.3077618572853247
19,nba.p.5582,T.J.,McConnell,PG,IND,BOS,BOS@IND,7:00PM EDT,20,16.2, , ,2024-10-30,5582,1,110.19,117.14,127.15,111.65,19.0,1.0,3.0,28.0,23.0,3.0,26.0,4.0,25.0,4.0,28.0,27.0,29.0,7.0,18.0,1.0,22.0,11.0,26.0,23.0,6.0,27.0,22.0,1.0,13.0,18.0,18.0,15.0,22.0,20.0,27.0,10.0,29.0,4.0,,,30.0,11.0,5582,P,7.8,2.3,3.5,0.8,0.0,1.8,16.41,2.5,23.0,14.9,13.320000000000002,0.95,1.0,1.1018999999999999,0.245,3.0555555555555554,1.4,0.32727272727272727,0.7142857142857143,0.3676363636363637,0.8023809523809525,0.2056549133297923
